name,long,lat,dis to an airport,range,airports 40km,airports 10km,schools 5km,schools 2km,veggies 500m,veggies 100m,party 1km,party 500m,starbucks 500m,starbucks 100m,final
FirstString,-118.243425,34.052187,19.466144944223537,10-20km,1,0,26,11,3,0,12,4,2,0,27.594252873563217
Gate 53|10 Technologies,10.0184565,53.57364010000001,6.619216831787885,0-10km,1,1,39,24,1,0,6,2,0,0,27.371264367816092
1calendar,12.524884,55.6802318,10.757063731874519,10-20km,1,0,45,19,1,0,6,1,2,0,26.671264367816093
Shutl,-0.1020265,51.5196135,25.505229018995408,20-50km,1,0,30,10,4,1,10,4,3,0,26.632183908045977
Pixsta,-0.208979,51.51819,18.294371379903385,10-20km,1,0,27,6,8,0,10,6,1,0,26.336781609195402
Lipperhey,4.9345824,52.3655578,13.213811355704332,10-20km,1,0,41,9,4,0,8,2,0,0,25.275862068965516
The Resumator,-80.001933,40.438423,20.411359346580202,20-50km,1,0,20,9,11,0,11,4,5,0,24.631034482758622
BASH Gaming,77.594376,12.971606,27.930485583547405,20-50km,1,0,26,8,4,1,10,4,1,0,24.602298850574712
DP7 Digital,-46.6773686,-23.5815208,5.399364070658248,0-10km,2,1,28,9,10,0,10,1,2,0,23.134482758620692
ClickFuel,-71.0680027,42.3406534,5.791770088994838,0-10km,1,1,50,17,3,0,1,1,0,0,22.59425287356322
ticketea,-3.7061764,40.445515500000006,12.493995830146394,10-20km,1,0,35,17,1,0,5,1,0,0,21.841379310344827
drchrono,-122.0933053,37.4202074,15.866143829205887,10-20km,3,0,48,12,4,1,2,0,1,0,20.862068965517242
ScaleMP,-122.03857920000002,37.3229727,10.641970012195397,10-20km,1,0,31,13,4,2,5,2,1,0,20.613793103448273
Internet Marketing Academy Australia,144.976425,-37.839941,21.92996566566524,20-50km,1,0,34,21,1,0,3,0,0,0,19.74137931034483
Gridstore,-122.0884286,37.4189073,15.413788215923836,10-20km,3,0,46,10,1,0,2,0,0,0,19.501149425287355
Clovis Oncology,-105.259041,40.026,53.19600926505044,50-100km,0,0,29,12,6,0,6,1,1,0,19.48390804597701
Queralt,-72.81901059999998,41.4778641,52.489957200340434,50-100km,0,0,21,9,0,0,8,2,0,0,19.0
MyEdu,-97.750154,30.288159000000004,12.957500639619255,10-20km,1,0,31,12,0,0,4,1,0,0,18.129885057471263
Handipoints,-122.214897,37.772323,5.699055910594206,0-10km,2,1,25,10,2,1,3,3,0,0,17.224137931034484
Tengaged,2.1634249,41.42412279999999,15.80442343946919,10-20km,1,0,29,10,0,0,4,0,0,0,15.929885057471264
Brandsclub,-46.6388182,-23.5489433,8.765361456008916,0-10km,2,1,17,2,5,0,7,1,1,0,14.562068965517241
VisualOn,-121.955879,37.270518,10.511117905180186,10-20km,1,0,36,8,0,0,0,0,0,0,13.429885057471264
AppNeta,-71.24756,42.318138,20.569893056151216,20-50km,1,0,33,5,1,0,0,0,0,0,11.641379310344828
CompareAway,-1.574948,54.70314499999999,37.921160703675724,20-50km,1,0,17,4,3,0,3,2,0,0,11.564367816091954
Talari Networks,-78.8267112,35.8535092,4.434259488238465,0-10km,1,1,18,1,3,0,2,2,0,0,10.194252873563219
Cognitive Match,-96.0791435,41.2601663,16.186115808796867,10-20km,1,0,19,3,0,0,3,0,0,0,9.829885057471264
Delphi,-83.16134,42.603532,46.26241301984189,20-50km,0,0,21,8,0,0,1,0,0,0,9.7
Actinobac Biomed,-74.478931,40.455501,37.16229124010694,20-50km,1,0,23,7,0,0,0,0,0,0,9.229885057471265
BrandYourself,-71.24762,42.275263,22.254417315731697,20-50km,1,0,20,6,0,0,1,0,0,0,9.029885057471265
AppZero,-71.1469003,42.6751888,36.467745941193385,20-50km,2,0,24,1,1,0,1,0,0,0,8.97126436781609
Inuvo,-82.702449,27.913011,18.018702180369488,10-20km,2,0,19,8,0,0,0,0,0,0,8.559770114942529
Inuvo,-82.702449,27.913011,18.018702180369488,10-20km,2,0,19,8,0,0,0,0,0,0,8.559770114942529
BASH Gaming,-122.0780632,37.55617120000001,22.260859940467142,20-50km,3,0,22,3,0,0,0,0,0,0,8.189655172413794
CoTweet,-122.3764714,37.7405936,13.521287849202562,10-20km,2,0,21,2,0,0,0,0,0,0,7.3597701149425285
travelmob,-157.78907,21.303049,14.13683612668189,10-20km,1,0,20,1,1,0,0,0,0,0,6.541379310344827
travelmob,-157.78907,21.303049,14.13683612668189,10-20km,1,0,20,1,1,0,0,0,0,0,6.541379310344827
ipadio,0.0118608,51.8205815,16.917183038525344,10-20km,2,0,12,1,0,0,2,0,0,0,6.3597701149425285
VistaGen Therapeutics,-122.3843489,37.6656476,5.251950626039407,0-10km,2,1,14,1,1,0,1,0,0,0,6.201149425287356
Applied Genetics Technologies Corporation,-82.4768036,29.7847641,109.43604075881134,100-300km,0,0,11,5,0,0,1,0,0,0,5.8
Ikanos,-121.9417078,37.4734314,12.375114120667341,10-20km,2,0,14,1,0,0,0,0,0,0,4.959770114942529
GENWI,-111.9035,33.8171,43.73495639903287,20-50km,0,0,5,2,0,0,0,0,0,0,2.1
