Id,name,category,description,lat,long,year,money_raised
52cdef7c4bab8bd675297f3d,LocaModa,advertising,Place-based social media,42.358822,-71.104329,2007,$7.9M
52cdef7c4bab8bd675297f3b,MocoSpace,games_video,Largest mobile games community in N Amer,42.350274,-71.058768,2005,$10.5M
52cdef7c4bab8bd675297f31,Seedcamp,finance,Startup accelerator,51.5108803,-0.1418973,2007,€5M
52cdef7c4bab8bd675297f48,Minglebox,web,,12.971606,77.594376,2006,$7M
52cdef7c4bab8bd675297f4a,TestFreaks,ecommerce,Product Review Experts,59.3339908,18.0571198,2006,$5.8M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,39.044694,-94.597896,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,40.748901,-73.992463,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,37.78866,-122.401406,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,26.580095,-81.879069,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,43.6474554,-79.3953743,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,51.5114403,-0.1229212,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,48.1635092,11.5582609,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,48.8506065,2.3797825,2004,$248M
52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,31.222622,121.4770384,2004,$248M
52cdef7c4bab8bd675297f43,Yap,messaging,cloud-based speech recognition,35.22806,-80.856178,2006,$12M
52cdef7c4bab8bd675297f4d,BlogSigs,web,,37.09024,-95.712891,2007,$0
52cdef7c4bab8bd675297f42,ChannelAdvisor,search,E-commerce service,35.854483,-78.815635,2001,$75M
52cdef7c4bab8bd675297f50,BBE,advertising,Digital media company,40.7445343,-73.9874008,2004,$10M
52cdef7c4bab8bd675297f45,Tizra,enterprise,,41.841713,-71.399771,2006,$850k
52cdef7c4bab8bd675297f4c,Quattro Wireless,advertising,Mobile ad network,42.3729,-71.248472,2006,$28.3M
52cdef7c4bab8bd675297f54,Fotolog,network_hosting,,40.757929,-73.985506,2002,$4M
52cdef7c4bab8bd675297f53,Thumbplay,music,"Music, Videos, Games for Mobile Devices",40.725435,-73.997395,2004,$41.5M
52cdef7c4bab8bd675297f58,Xfire,games_video,Social Gaming Portal & Platform ,34.0184659,-118.49863,2002,$7M
52cdef7c4bab8bd675297f60,SnapTell,software,Image recognition based mobile marketing,37.433414,-122.128772,2006,$4M
52cdef7c4bab8bd675297f65,PriceGrabber,web,Online Comparison Shopping,37.09024,-95.712891,1999,$0
52cdef7c4bab8bd675297f63,Marchex,mobile,,47.611201,-122.336825,2000,$0
52cdef7c4bab8bd675297f5d,Wonga,web,Online Provider of Small Cash Advances,51.5192042,-0.1626103,2007,$101M
