Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Kickback,https://angel.co/company/kickback,5,Mar '15,San Francisco,Skill Gaming,https://kickback.com,11-50,"",""
CodeCombat,https://angel.co/company/codecombat,5,Jun '14,San Francisco,K-12 Education,https://codecombat.com,11-50,Series A,8295000
Streamlabs (Logitech | NASDAQ: LOGI),https://angel.co/company/stream-labs,5,Apr '11,Vancouver,Video Streaming,https://streamlabs.com/,51-200,Acquired,17300000
co.lab,https://angel.co/company/co-lab-1,5,Apr '14,San Francisco,Technology,http://www.playcolab.com,1-10,"",""
Zynga,https://angel.co/company/zynga,5,Jan '12,San Francisco,Networking,http://www.zynga.com,"","",866513000
Justin.tv,https://angel.co/company/justin-tv,5,Jan '12,San Francisco,Chat,http://www.justin.tv,"",Seed,""
Twitch,https://angel.co/company/twitch,5,Aug '12,San Francisco,Video Streaming,http://www.twitch.tv/,501-1000,Acquired,1005000000
Long Game,https://angel.co/company/long-game,5,Aug '15,San Francisco,Mobile Games,http://longgame.co,11-50,"",""
Clay.io,https://angel.co/company/clay-io,5,Feb '12,San Francisco,Messaging,http://clay.io,1-10,Seed,550000
Three Rings,https://angel.co/company/three-rings,5,Jan '12,San Francisco,Games,http://www.threerings.net/,"",Series A,3500000
CMUNE,https://angel.co/company/cmune,5,Mar '11,San Francisco,Android,http://www.cmune.com,"",Series A,""
Hobo Labs,https://angel.co/company/hobo-labs,5,Apr '14,San Francisco,Mobile Games,http://www.hobolabs.com,1-10,"",4000000
Playhem,https://angel.co/company/playhem,5,Jan '11,San Francisco,Game Mechanics,http://www.playhem.com,"",Seed,820000
Rallyware,https://angel.co/company/rallyware,5,Aug '12,San Francisco,Gamification,http://www.rallyware.com,51-200,"",788000
Wallit,https://angel.co/company/wallit,5,Sep '11,San Francisco,Social Games,http://www.wallitapp.com/,1-10,"",1200000
LessThan3,https://angel.co/company/lessthan3,5,Nov '11,San Francisco,Video Streaming,http://www.lessthan3.com,1-10,"",""
Smash.gg,https://angel.co/company/smashgg,5,Mar '16,San Francisco,Games,https://smash.gg,11-50,Series A,11100000
PlaySay,https://angel.co/company/playsay,5,Oct '10,San Francisco,Language Learning,http://playsay.com,1-10,Seed,570000
Ntensify,https://angel.co/company/ntensify,5,Dec '13,San Francisco,Mobile Commerce,http://www.ntensify.com,1-10,"",300000
Hi5,https://angel.co/company/hi5,5,Jan '12,San Francisco,Networking,http://hi5.com,"",Acquired,52000000
Fig,https://angel.co/company/fig-5,5,Aug '15,San Francisco,Mobile Games,http://Fig.co,1-10,Series A,7840000
Metacafe,https://angel.co/company/metacafe,5,Jan '12,San Francisco,Video Games,http://metacafe.com,"",Seed,50000000
Monstrous.fm,https://angel.co/company/monstrous-fm,5,Mar '11,San Francisco,Mobile Games,http://monstrous.fm,1-10,"",400000
Skillz,https://angel.co/company/skillz,5,Oct '12,San Francisco,Application Platforms,http://skillz.com/,51-200,Series C,46800000
Blue Crystal Labs,https://angel.co/company/blue-crystal-labs,5,Mar '14,San Francisco,Mobile Games,http://bluecrystallabs.com,1-10,"",""
Super Evil Megacorp.,https://angel.co/company/super-evil-megacorp,5,Apr '12,San Francisco,Mobile Games,http://www.superevilmegacorp.com,51-200,"",56799986
IGN Entertainment,https://angel.co/company/ign-entertainment,5,Jan '12,San Francisco,Games,http://corp.ign.com,"",Acquired,700000000
Vator.TV,https://angel.co/company/vator-tv,5,Jan '12,San Francisco,Games,http://www.vator.tv,"",Seed,""
Hands-On Mobile,https://angel.co/company/hands-on-mobile,5,May '12,San Francisco,Games,http://www.handson.com,"",Series C,30000000
Springshot,https://angel.co/company/springshot,5,Jul '12,San Francisco,Gamification,http://www.springshot.com,11-50,Series A,1600000
SGN,https://angel.co/company/sgn,5,Oct '12,San Francisco,Social Games,http://www.sgn.com,"","",130000000
SportHold,https://angel.co/company/sporthold,5,Nov '13,San Francisco,Fantasy Sports,http://www.sporthold.com,1-10,Seed,257000
Big Head Mode,https://angel.co/company/big-head-mode,5,Jul '12,San Francisco,Mobile Games,http://www.bigheadmode.com,1-10,Acquired,""
Lumos Labs,https://angel.co/company/lumos-labs,5,Feb '16,San Francisco,Curated Web,https://www.lumosity.com/en/,51-200,Series D,67550000
iSoccer,https://angel.co/company/isoccer,5,May '11,San Francisco,Social Games,http://www.playisoccer.com,1-10,Acquired,1200000
LiveCanary,https://angel.co/company/livecanary,5,May '16,San Francisco,Mobile Games,http://www.livecanary.com,1-10,"",""
ZENGAMING,https://angel.co/company/zengaming,5,May '15,San Francisco,Professional Networking,http://www.zengaming.com,11-50,Seed,5600000
